timestamp,amount,mule_latitude,mule_longitude,atm_latitude,atm_longitude,distance_to_atm_km,transaction_velocity,historical_hotspot_score,cashout_atm_label,hour,day,day_of_week,spatial_hotspot_score,month,victim_city_Delhi NCR,victim_city_Hyderabad,victim_city_Jammu,victim_city_Jamtara,victim_city_Kolkata,victim_city_Mewat Nuh,victim_city_Mumbai
2026-08-22 14:13:55,46461.79,28.610367,77.272456,28.597591,77.271766,1.42,1.5,0.3934,1,14,22,5,0.17313520905123145,8,True,False,False,False,False,False,False
2026-08-14 13:22:56,23107.42,19.136144,72.846963,19.114287,72.861431,2.862,5.04,0.635,1,13,14,4,0.11169375935392352,8,False,False,False,False,False,False,True
2026-08-23 04:25:04,54855.48,23.898299,86.787236,23.904401,86.76024,2.822,2.87,0.1511,0,4,23,6,0.052584455249463806,8,False,False,False,True,False,False,False
2026-08-20 09:08:20,143678.41,22.580397,88.418383,22.577984,88.403632,1.535,6.96,0.7814,1,9,20,3,0.035522862855921405,8,False,False,False,False,True,False,False
2026-08-11 15:31:38,20794.24,28.575797,77.275633,28.572203,77.280555,0.624,0.42,0.158,0,15,11,1,0.1738227315189927,8,True,False,False,False,False,False,False
2026-08-06 06:28:47,20794.62,28.630817,77.247581,28.629215,77.244644,0.337,0.74,0.5252,0,6,6,3,0.17256435951260143,8,True,False,False,False,False,False,False
2026-08-11 12:38:03,152838.04,28.538572,77.240475,28.537235,77.239683,0.167,7.95,0.4034,1,12,11,1,0.17775292917373867,8,True,False,False,False,False,False,False
2026-08-12 17:40:49,62578.57,23.975857,86.789756,23.986277,86.756108,3.603,0.41,0.4591,0,17,12,2,0.05285215268708956,8,False,False,False,True,False,False,False
2026-08-07 20:20:37,16051.83,28.691456,77.163332,28.699024,77.163685,0.841,0.5,0.2847,0,20,7,4,0.1673513665099686,8,True,False,False,False,False,False,False
2026-07-31 11:24:41,48864.97,28.592067,77.190255,28.568901,77.199114,2.713,3.39,0.4029,0,11,31,4,0.17808262331886565,7,True,False,False,False,False,False,False
2026-08-09 21:10:31,16159.13,12.911295,77.60774,12.910247,77.611467,0.42,1.65,0.4089,0,21,9,6,0.09656219163263129,8,False,False,False,False,False,False,False
2026-08-05 11:41:22,16118.09,23.989095,86.793709,23.987095,86.799733,0.65,1.29,0.7743,1,11,5,2,0.05305234871789435,8,False,False,False,True,False,False,False
2026-08-14 22:17:37,35107.09,32.713953,74.774602,32.709126,74.772141,0.583,2.18,0.5492,1,22,14,4,0.049623915327508934,8,False,False,True,False,False,False,False
2026-08-14 01:18:43,3279.32,17.422741,78.488775,17.427156,78.493191,0.677,2.63,0.4182,1,1,14,4,0.07886066805670928,8,False,True,False,False,False,False,False
2026-07-29 22:12:22,4034.31,28.150468,77.055536,28.1623,77.065161,1.616,2.25,0.333,0,22,29,2,0.15325352122709132,7,False,False,False,False,False,True,False
2026-08-13 22:00:49,14493.91,32.76787,74.954762,32.765065,74.959463,0.538,4.83,0.356,1,22,13,3,0.04915511770775479,8,False,False,True,False,False,False,False
2026-08-21 21:15:16,8829.78,32.725573,74.820924,32.726254,74.826604,0.536,0.37,0.6168,1,21,21,4,0.05026749641463441,8,False,False,True,False,False,False,False
2026-07-28 08:32:26,38012.57,28.686856,77.222164,28.684258,77.218882,0.431,3.19,0.4374,1,8,28,1,0.16840549587694592,7,True,False,False,False,False,False,False
2026-08-19 09:43:32,9908.75,17.41678,78.458857,17.416837,78.455984,0.304,0.37,0.8983,1,9,19,2,0.07882535991629025,8,False,True,False,False,False,False,False
2026-08-12 09:46:59,5690.0,32.697661,74.873447,32.693829,74.877201,0.551,2.31,0.252,1,9,12,2,0.050212593897629096,8,False,False,True,False,False,False,False
2026-08-24 14:23:34,134889.83,17.358991,78.431616,17.379065,78.438011,2.329,2.15,0.6548,1,14,24,0,0.07875501415232397,8,False,True,False,False,False,False,False
2026-08-23 19:49:42,20986.74,28.666074,77.154208,28.687872,77.125624,3.688,9.16,0.4876,0,19,23,6,0.16793029593485098,8,True,False,False,False,False,False,False
2026-07-28 07:04:30,28977.68,28.640656,77.19936,28.626238,77.183686,2.212,2.24,0.0975,0,7,28,1,0.17462512659265422,7,True,False,False,False,False,False,False
2026-07-30 14:57:19,5612.64,22.543751,88.387409,22.526823,88.393725,1.987,2.7,0.4527,0,14,30,3,0.03542156587576649,7,False,False,False,False,True,False,False
2026-08-13 15:53:26,14782.2,32.712299,74.810203,32.706148,74.812054,0.704,2.53,0.1352,1,15,13,3,0.05012206454915912,8,False,False,True,False,False,False,False
